Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Metal Category,Carci0gen,Unit of Measure,Total Releases
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424690,METHANOL,1,0,0,0,Pounds,0
327992,DICHLOROMETHANE,1,0,0,1,Pounds,30.14
327992,FREON 113,0,0,0,0,Pounds,5.35
327992,METHYL TERT-BUTYL ETHER,1,0,0,0,Pounds,6.64
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
327992,TOLUENE,1,0,0,0,Pounds,691.21
311513,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
221112,BARIUM COMPOUNDS,0,1,3,0,Pounds,557335
327320,LEAD,1,1,1,1,Pounds,0.4411
311511,NITRIC ACID,0,0,0,0,Pounds,0
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.18
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,3848.4
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.3
311513,NITRATE COMPOUNDS,0,0,0,0,Pounds,30412
325611,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,0
334414,LEAD,1,1,1,1,Pounds,4.5243
221112,THALLIUM COMPOUNDS,0,1,1,0,Pounds,66433.4385
325193,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,0
325132,CATECHOL,1,0,0,0,Pounds,0
311513,NITRIC ACID,0,0,0,0,Pounds,0
424710,ETHYLENE GLYCOL,1,0,0,0,Pounds,0.08
331314,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,1961
331111,COPPER COMPOUNDS,0,1,1,0,Pounds,90.512
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.01
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,3762
327310,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,7.9
221112,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.1
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,2
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
332812,LEAD COMPOUNDS,1,1,1,0,Pounds,7
325199,ETHYLENE GLYCOL,1,0,0,0,Pounds,0
325520,DIISOCYANATES,1,0,0,0,Pounds,0
327215,LEAD,1,1,1,1,Pounds,35.7
221112,NAPHTHALENE,1,0,0,0,Pounds,26
424710,LEAD COMPOUNDS,1,1,1,0,Pounds,0
332410,CHROMIUM,1,1,1,1,Pounds,16.67
339112,NICKEL,1,1,1,1,Pounds,10
323110,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,5940
424710,N-HEXANE,1,0,0,0,Pounds,0
331111,LEAD COMPOUNDS,1,1,1,0,Pounds,63.8
331492,NITRIC ACID,0,0,0,0,Pounds,0
332112,MANGANESE,1,1,1,0,Pounds,0
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,1
332431,N-BUTYL ALCOHOL,0,0,0,0,Pounds,1950
324121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.246
325510,N-METHYL-2-PYRROLIDONE,0,0,0,0,Pounds,0
311513,NITRATE COMPOUNDS,0,0,0,0,Pounds,1534
424710,BENZENE,1,0,0,1,Pounds,720
221112,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,80000
332813,LEAD COMPOUNDS,1,1,1,0,Pounds,0
424690,DICHLOROMETHANE,1,0,0,1,Pounds,0
424690,TRICHLOROETHYLENE,1,0,0,1,Pounds,0
327910,FORMALDEHYDE,1,0,0,1,Pounds,715
325992,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,22497
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,3739.6
332431,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,12206
541380,NITRIC ACID,0,0,0,0,Pounds,0
311513,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
331421,COPPER,0,1,1,0,Pounds,2052
333912,CHROMIUM,1,1,1,1,Pounds,250
335110,MERCURY COMPOUNDS,1,1,1,0,Pounds,154
331492,LEAD,1,1,1,1,Pounds,0.014
335931,ANTIMONY COMPOUNDS,1,1,1,0,Pounds,5016.1
424710,N-HEXANE,1,0,0,0,Pounds,92.38
316110,CHROMIUM,1,1,1,1,Pounds,2250
327213,LEAD COMPOUNDS,1,1,1,0,Pounds,378
424710,ETHYLBENZENE,1,0,0,0,Pounds,6.094
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,1.064
332211,CHROMIUM,1,1,1,1,Pounds,0
325510,ETHYLENE GLYCOL,1,0,0,0,Pounds,11
424710,NAPHTHALENE,1,0,0,0,Pounds,8.1
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
325211,DIMETHYL SULFATE,1,0,0,1,Pounds,5
339112,CHROMIUM,1,1,1,1,Pounds,10
332813,LEAD COMPOUNDS,1,1,1,0,Pounds,731
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,31.6
325211,MERCURY COMPOUNDS,1,1,1,0,Pounds,1.5
325211,NITRATE COMPOUNDS,0,0,0,0,Pounds,64655
325211,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,3565
332117,LEAD COMPOUNDS,1,1,1,0,Pounds,20.5
312120,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.001
325188,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,227
311422,NITRIC ACID,0,0,0,0,Pounds,0
332112,COBALT,1,1,1,1,Pounds,255
327113,ALUMINUM (FUME OR DUST),0,1,4,0,Pounds,0
325188,NITRIC ACID,0,0,0,0,Pounds,178
332410,LEAD,1,1,1,1,Pounds,1.053
326130,METHYL METHACRYLATE,1,0,0,0,Pounds,3503
424710,ETHYLBENZENE,1,0,0,0,Pounds,223.05
325510,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,5
325510,LEAD COMPOUNDS,1,1,1,0,Pounds,0
311513,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
325199,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,59
333611,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,47.133
928110,LEAD,1,1,1,1,Pounds,0
331491,CHROMIUM,1,1,1,1,Pounds,601.6
324199,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,1.1
331492,NICKEL COMPOUNDS,1,1,1,0,Pounds,5
331492,COPPER,0,1,1,0,Pounds,0.1
333415,COPPER,0,1,1,0,Pounds,260
326299,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
424710,BENZENE,1,0,0,1,Pounds,505
331312,CHROMIUM,1,1,1,1,Pounds,0
332313,NICKEL,1,1,1,1,Pounds,4
