Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
324199,TOLUENE,YES,NO,NO,Pounds,2037,2330,0,2330
332994,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
325510,SILVER,NO,YES,NO,Pounds,0,1.7,7,8.7
336399,LEAD,YES,YES,YES,Pounds,0,0.204,1.019,1.313
327993,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,NO,Pounds,28,28,368,396
332813,NITRIC ACID,NO,NO,NO,Pounds,750,1500,0,1500
336510,COPPER,NO,YES,NO,Pounds,0,0,12,13
325193,FORMALDEHYDE,YES,NO,YES,Pounds,2170.45,2171.23,0,2171.23
327993,LEAD,YES,YES,YES,Pounds,0,0,114,114
333315,MANGANESE COMPOUNDS,YES,YES,NO,Pounds,0,0,639,889
325188,FORMALDEHYDE,YES,NO,YES,Pounds,661,662,0,662
221112,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0.04,0.04,0,0.04
331315,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,29202,29319,0,29319
325320,CARBOFURAN,NO,NO,NO,Pounds,250,255,0,255
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
221112,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,Grams,0.205,0.205,0,0.205
221112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,38000,38000,0,38000
327113,BARIUM,NO,YES,NO,Pounds,0,0,0,0
331221,HYDROGEN FLUORIDE,YES,NO,NO,Pounds,250,500,0,500
332813,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,0,0,0,0
327113,PHENOL,YES,NO,NO,Pounds,0,0,0,0
336412,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
322222,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
325520,DICHLOROMETHANE,YES,NO,YES,Pounds,250,500,0,500
333912,TOLUENE,YES,NO,NO,Pounds,6000,6750,0,6750
336391,NICKEL,YES,YES,YES,Pounds,5,17,701,723
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,32,33.3,0,33.3
333415,COPPER,NO,YES,NO,Pounds,0,5,5,15
332618,CADMIUM,YES,YES,YES,Pounds,0,0,0,38.253
331111,CHROMIUM,YES,YES,YES,Pounds,330,1256,2026,3288
311119,ZINC COMPOUNDS,NO,YES,NO,Pounds,0,0,0,0
312120,AMMONIA,NO,NO,NO,Pounds,0,3257,0,3257
